Facility_ID,Hospital_Type,Procedure_Category,Operative_Procedure,Procedure_Count,Infection_Count,SSI_ratio,Performance
110000067, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,93.0,0.0,0.0,Good
120000404, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,1.0,0.0,0.0,Good
30000901, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,26.0,0.0,0.0,Good
40000113, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,29.0,0.0,0.0,Good
230000010, 250+ Beds,Cardiac Procedures,Pacemaker surgery,128.0,0.0,0.0,Good
30000037, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,1.0,0.0,0.0,Good
930000096, 250+ Beds,Cardiac Procedures,Pacemaker surgery,114.0,0.0,0.0,Good
220000017, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,124.0,0.0,0.0,Good
930000027, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,8.0,0.0,0.0,Good
60000060, 250+ Beds,Cardiac Procedures,Pacemaker surgery,158.0,0.0,0.0,Good
240000009, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,1.0,0.0,0.0,Good
930000108, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,12.0,0.0,0.0,Good
110000010, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,42.0,0.0,0.0,Good
930000111, 250+ Beds,Cardiac Procedures,Pacemaker surgery,40.0,0.0,0.0,Good
930000112, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,12.0,0.0,0.0,Good
930000105, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,11.0,0.0,0.0,Good
60000208, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,70.0,0.0,0.0,Good
60000073, 250+ Beds,Cardiac Procedures,Pacemaker surgery,54.0,0.0,0.0,Good
230000014, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,12.0,0.0,0.0,Good
930000052, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,46.0,0.0,0.0,Good
930000099, 250+ Beds,Cardiac Procedures,Pacemaker surgery,114.0,0.0,0.0,Good
930000057, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,24.0,0.0,0.0,Good
30000124, 250+ Beds,Cardiac Procedures,Pacemaker surgery,608.0,1.0,0.1644736842105263,Good
250000727, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,17.0,0.0,0.0,Good
30000123, 250+ Beds,Cardiac Procedures,Pacemaker surgery,267.0,1.0,0.37453183520599254,Good
