Year,State,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Hospital_Type,County,Procedure_Count,Infection_Count,Predicted_Infection_Count,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,SIR_2015,"On Track Toward 2020 Goal (0.88, 2017)",Notes
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Abdominal aortic aneurysm repair,,,,,,515,2,3.502,0.57,0.1,1.89,Same,1.07,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Appendix surgery,,,,,,29595,116,113.323,1.02,0.85,1.22,Same,0.98,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)","STATE OF CALIFORNIA POOLED DATA-Bile duct, liver or pancreatic surgery",,,,,,7975,255,211.45,1.21,1.07,1.36,Worse,0.97,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Cardiac surgery,,,,,,13293,52,51.728,1.01,0.76,1.31,Same,1.35,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Cesarean section,,,,,,133553,202,200.527,1.01,0.88,1.15,Same,0.88,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Colon surgery,,,,,,28239,675,697.773,0.97,0.9,1.04,Same,1.07,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)","STATE OF CALIFORNIA POOLED DATA-Coronary bypass, chest and donor incisions",,,,,,13355,74,94.324,0.79,0.62,0.98,Better,0.98,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)","STATE OF CALIFORNIA POOLED DATA-Coronary bypass, chest incision only",,,,,,2104,13,12.906,1.01,0.56,1.68,Same,0.90,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Exploratory abdominal surgery (laparotomy),,,,,,42555,214,229.191,0.93,0.82,1.07,Same,0.97,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Gallbladder surgery,,,,,,49129,164,173.974,0.94,0.81,1.1,Same,0.95,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Gastric surgery,,,,,,20610,82,141.054,0.58,0.47,0.72,Better,0.99,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Heart transplant,,,,,,373,0,5.39,0.00,0,0.56,Better,0.33,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Hip prosthesis,,,,,,47820,254,275.771,0.92,0.81,1.04,Same,0.98,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)","STATE OF CALIFORNIA POOLED DATA-Hysterectomy,abdominal",,,,,,22166,135,157.296,0.86,0.72,1.01,Same,1.03,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)","STATE OF CALIFORNIA POOLED DATA-Hysterectomy,vaginal",,,,,,8646,46,42.553,1.08,0.8,1.43,Same,0.95,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Kidney surgery,,,,,,7723,22,25.486,0.86,0.56,1.29,Same,0.97,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Kidney transplant,,,,,,2075,11,12.754,0.86,0.45,1.5,Same,0.79,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Knee prosthesis,,,,,,62167,207,219.583,0.94,0.82,1.08,Same,0.89,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Laminectomy,,,,,,36074,87,120.611,0.72,0.58,0.89,Better,0.97,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Liver transplant,,,,,,728,20,34.522,0.58,0.36,0.88,Better,0.67,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Open reduction of fracture,,,,,,35833,241,252.11,0.96,0.84,1.08,Same,1.01,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Ovarian surgery,,,,,,22352,18,15.568,1.16,0.71,1.79,Same,0.95,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Pacemaker surgery,,,,,,19678,40,34.479,1.16,0.84,1.56,Same,0.87,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Rectal surgery,,,,,,5015,41,82.911,0.50,0.36,0.66,Better,1.12,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Small bowel surgery,,,,,,21934,328,443.575,0.74,0.66,0.82,Better,1.03,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Spinal fusion,,,,,,38585,236,289.825,0.81,0.72,0.92,Better,0.87,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Spleen surgery,,,,,,1785,8,10.349,0.77,0.36,1.47,Same,1.11,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",STATE OF CALIFORNIA POOLED DATA-Thoracic surgery,,,,,,15385,36,52.674,0.68,0.49,0.94,Better,0.75,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,060000002,AHMC Anaheim Regional Medical Center,Acute Care Hospital,Community (125-250 Beds),Orange,1998,2,7.769,0.26,0.04,0.85,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,120000411,Adventist Health Bakersfield,Acute Care Hospital,Community (>250 Beds),Kern,4145,7,19.476,0.36,0.16,0.71,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,110000044,Adventist Health Clearlake,Critical Access Hospital,Critical Access,Lake,89,0,0.615,0.00,0,6,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,230000005,Adventist Health Feather River,Acute Care Hospital,Community (<125 Beds),Butte,1007,0,4.809,0.00,0,0.62,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000059,Adventist Health Glendale,Acute Care Hospital,Community (>250 Beds),Los Angeles,3476,19,17.274,1.10,0.68,1.69,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,630012960,Adventist Health Hanford,Acute Care Hospital,Community (125-250 Beds),Kings,2525,5,9.836,0.51,0.19,1.13,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,110000008,Adventist Health Howard Memorial,Critical Access Hospital,Critical Access,Mendocino,547,1,2.858,0.35,0.02,1.73,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,030000139,Adventist Health Lodi Memorial,Acute Care Hospital,Community (125-250 Beds),San Joaquin,1333,5,5.457,0.92,0.34,2.03,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,040000124,Adventist Health Reedley,Acute Care Hospital,Community (<125 Beds),Fresno,506,0,0.745,0.00,0,4.95,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,040000122,Adventist Health Selma,Acute Care Hospital,Community (<125 Beds),Fresno,314,3,1.3,2.31,0.59,6.28,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,050000455,Adventist Health Simi Valley,Acute Care Hospital,Community (125-250 Beds),Ventura,1008,3,4.443,0.68,0.17,1.84,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,030001799,Adventist Health Sonora,Acute Care Hospital,Community (<125 Beds),Tuolumne,1242,10,5.875,1.70,0.87,3.03,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,110000058,Adventist Health St. Helena,Acute Care Hospital,Community (125-250 Beds),Napa,1739,3,6.783,0.44,0.11,1.2,Same,,Yes,
